id;name;description;duration;capacity
1;magnifique au dépens de;à peine au-delà;5686;7246
2;fort clientèle;là-haut;5962;30230
3;depuis gestionnaire mater;par tantôt;28082;8764
4;vroum triathlète;retomber cocorico;30554;7738
5;coac coac pourvu que délectable;de manière à innombrable;10404;27675
6;bof vraiment blablabla;vlan avant;27602;22981
7;présidence;tellement;24000;10522
8;rectorat;bè clac;26034;24825
9;coac coac;sans que rectorat nonobstant;16310;3575
10;cyan corps enseignant;préciser tellement porte-parole;1757;5135
